RT,SN,SYMBOL,TYPE,DQG,DQ3,TP
20,272,CGPOWER,EQ,2473317,591341,23.91
20,273,CHAMBLFERT,EQ,321875,215642,67.00
20,274,CHEMFAB,EQ,4431,4226,95.37
20,275,CHENNPETRO,EQ,480442,133627,27.81
20,276,CHOLAFIN,EQ,175797,49387,28.09
20,277,CIGNITITEC,EQ,16230,12793,78.82
20,278,CIMMCO,EQ,2803,1946,69.43
20,279,CINELINE,EQ,48728,38297,78.59
20,280,CIPLA,EQ,1904031,694282,36.46
20,281,CLEDUCATE,EQ,3829,2900,75.74
20,282,CLNINDIA,EQ,55649,38155,68.56
20,283,CMICABLES,EQ,101638,44841,44.12
20,284,CMMIPL,SM,12000,12000,100.00
20,285,COALINDIA,EQ,2713583,1184060,43.63
20,286,COCHINSHIP,EQ,90423,68535,75.79
20,287,COFFEEDAY,EQ,49697,32709,65.82
20,288,COLPAL,EQ,867273,461185,53.18
20,289,COMPINFO,EQ,10742,8580,79.87
20,290,COMPUSOFT,EQ,20360,16371,80.41
20,291,CONCOR,EQ,303551,96850,31.91
20,292,CONSOFINVT,EQ,1793,1119,62.41
20,293,CONTROLPR,EQ,3943,2468,62.59
20,294,CORALFINAC,EQ,17111,11983,70.03
