Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"BEL","116.00","117.95","115.20","117.25","1.05","0.90","36.40","42.47","193.40","96.70","-29.54","9.68"
"DIVISLAB","1,298.00","1,308.80","1,275.80","1,305.40","11.25","0.87","8.49","109.87","1,314.90","626.00","104.48","20.48"
"INDIACEM","118.40","122.40","118.05","119.95","1.00","0.84","58.73","70.74","205.95","97.10","-32.67","2.43"
"EICHERMOT","28,623.00","29,000.00","28,533.95","28,999.95","233.05","0.81","0.41","117.70","33,480.00","26,208.05","-5.38","4.70"
"BERGEPAINT","333.00","339.50","331.00","335.75","2.45","0.74","8.14","27.43","341.10","230.55","41.55","5.81"
"IOC","153.65","155.40","151.50","154.50","1.10","0.72","88.81","136.58","231.48","150.00","-63.80","-6.34"
"JINDALSTEL","198.25","203.15","196.55","201.70","1.45","0.72","72.36","145.44","294.30","129.20","51.54","2.96"
"SUZLON","7.20","7.25","7.10","7.20","0.05","0.70","141.50","10.15","17.50","6.85","-55.96","-14.29"
"UPL","647.00","674.00","643.05","654.50","4.55","0.70","51.14","338.89","856.25","537.25","-19.60","3.86"
"HINDALCO","219.05","223.35","216.65","222.60","1.55","0.70","91.12","199.93","284.00","192.35","-3.59","7.23"
"TVSMOTOR","547.90","553.00","540.10","549.05","3.55","0.65","16.74","91.71","794.45","507.00","-6.08","-0.67"
"TATASTEEL","570.35","579.35","568.25","575.30","3.65","0.64","60.60","348.63","748.11","493.00","-9.34","9.08"
"STAR","478.00","483.50","463.00","481.60","2.95","0.62","27.65","130.93","1,041.10","333.30","-47.28","32.02"
"SRF","1,940.00","1,995.10","1,940.00","1,967.30","11.95","0.61","3.30","65.15","2,446.60","1,432.80","34.40","19.93"
"HINDUNILVR","1,773.25","1,789.00","1,762.25","1,783.25","10.45","0.59","8.67","154.12","1,808.65","1,169.00","50.09","6.92"
"RELIANCE","1,265.25","1,279.95","1,260.05","1,277.00","7.55","0.59","66.52","845.98","1,279.95","765.00","61.44","14.95"
