Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,16082018,493944695,0001764
Trade Date <16-AUG-2018>,Settlement Type <N>,Settlement No <2018157>,Settlement Date <21-AUG-2018>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1586,TDPOWERSYS,EQ,11820,10126,85.67
20,1587,TEAMLEASE,EQ,6630,4772,71.98
20,1588,TECHM,EQ,3624795,2427904,66.98
20,1589,TECHNOFAB,EQ,5880,4848,82.45
20,1590,TEJASNET,EQ,166060,78787,47.44
20,1591,TERASOFT,EQ,4935,4527,91.73
20,1592,TEXINFRA,EQ,49817,36428,73.12
20,1593,TEXMOPIPES,EQ,238920,92285,38.63
20,1594,TEXRAIL,EQ,575378,157673,27.40
20,1595,TFCILTD,EQ,45189,28537,63.15
20,1596,TGBHOTELS,EQ,7803,3667,46.99
20,1597,THANGAMAYL,EQ,15324,9238,60.28
20,1598,THEINVEST,EQ,2793,2383,85.32
20,1599,THEJO,SM,600,600,100.00
20,1600,THEMISMED,EQ,2419,2211,91.40
20,1601,THERMAX,EQ,23773,17207,72.38
20,1602,THIRUSUGAR,EQ,5144,3667,71.29
20,1603,THOMASCOOK,EQ,339941,220329,64.81
20,1604,THYROCARE,EQ,44251,40484,91.49
20,1605,TI,EQ,89909,43187,48.03
20,1606,TIDEWATER,EQ,1007,597,59.29
20,1607,TIFIN,EQ,10817,5573,51.52
20,1608,TIIL,EQ,8169,6111,74.81
20,1609,TIINDIA,EQ,61706,50988,82.63
20,1610,TIJARIA,EQ,10993,8515,77.46
