RT,SN,SYMBOL,TYPE,DQG,DQ3,TP
20,103,ARSHIYA,EQ,60745,52378,86.23
20,104,ARSSINFRA,EQ,27037,24593,90.96
20,105,ARVEE,SM,4000,0,0.00
20,106,ARVIND,EQ,1878920,471227,25.08
20,107,ARVSMART,EQ,9193,5439,59.16
20,108,ASAHIINDIA,EQ,6084,3912,64.30
20,109,ASAHISONG,EQ,4716,3944,83.63
20,110,ASAL,EQ,8035,4966,61.80
20,111,ASHAPURMIN,EQ,98856,43449,43.95
20,112,ASHIANA,EQ,25998,19392,74.59
20,113,ASHIMASYN,EQ,133701,103624,77.50
20,114,ASHOKA,EQ,111723,68206,61.05
20,115,ASHOKLEY,EQ,25865132,7233082,27.96
20,116,ASIANHOTNR,EQ,11799,9625,81.57
20,117,ASIANPAINT,EQ,859955,430999,50.12
20,118,ASIANTILES,EQ,1203392,351540,29.21
20,119,ASPINWALL,EQ,1593,1444,90.65
20,120,ASTEC,EQ,11373,8154,71.70
20,121,ASTERDM,EQ,106656,86071,80.70
20,122,ASTRAL,EQ,42943,23864,55.57
20,123,ASTRAMICRO,EQ,251520,202428,80.48
20,124,ASTRAZEN,EQ,29236,9432,32.26
20,125,ASTRON,EQ,181457,117371,64.68
20,126,ATFL,EQ,16755,12229,72.99
20,127,ATLANTA,EQ,152859,119420,78.12
